127.0.0.1 - - [07/Mar/2020:13:39:59 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [07/Mar/2020:13:40:00 +0530] "GET /Code_Complexity_measuring_tool/index.html HTTP/1.1" 200 5345
0:0:0:0:0:0:0:1 - - [07/Mar/2020:13:40:00 +0530] "GET /Code_Complexity_measuring_tool/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 55967
0:0:0:0:0:0:0:1 - - [07/Mar/2020:13:40:00 +0530] "GET /Code_Complexity_measuring_tool/vendor/jquery/jquery.min.js HTTP/1.1" 200 88145
0:0:0:0:0:0:0:1 - - [07/Mar/2020:13:40:00 +0530] "GET /Code_Complexity_measuring_tool/css/sb-admin-2.min.css HTTP/1.1" 200 197981
0:0:0:0:0:0:0:1 - - [07/Mar/2020:13:40:00 +0530] "GET /Code_Complexity_measuring_tool/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 78635
0:0:0:0:0:0:0:1 - - [07/Mar/2020:13:40:00 +0530] "GET /Code_Complexity_measuring_tool/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [07/Mar/2020:13:40:00 +0530] "GET /Code_Complexity_measuring_tool/js/sb-admin-2.min.js HTTP/1.1" 200 1106
0:0:0:0:0:0:0:1 - - [07/Mar/2020:13:40:00 +0530] "GET /Code_Complexity_measuring_tool/vendor/chart.js/Chart.min.js HTTP/1.1" 200 156721
0:0:0:0:0:0:0:1 - - [07/Mar/2020:13:40:00 +0530] "GET /Code_Complexity_measuring_tool/js/demo/chart-area-demo.js HTTP/1.1" 200 3569
0:0:0:0:0:0:0:1 - - [07/Mar/2020:13:40:00 +0530] "GET /Code_Complexity_measuring_tool/js/demo/chart-pie-demo.js HTTP/1.1" 200 1057
0:0:0:0:0:0:0:1 - - [07/Mar/2020:13:40:02 +0530] "GET /Code_Complexity_measuring_tool/vendor/fontawesome-free/webfonts/fa-regular-400.eot? HTTP/1.1" 200 34388
0:0:0:0:0:0:0:1 - - [07/Mar/2020:13:40:02 +0530] "GET /Code_Complexity_measuring_tool/vendor/fontawesome-free/webfonts/fa-solid-900.eot? HTTP/1.1" 200 192116
0:0:0:0:0:0:0:1 - - [07/Mar/2020:13:40:02 +0530] "GET /Code_Complexity_measuring_tool/vendor/fontawesome-free/webfonts/fa-brands-400.eot? HTTP/1.1" 200 129352
0:0:0:0:0:0:0:1 - - [07/Mar/2020:13:41:03 +0530] "GET /Code_Complexity_measuring_tool/index.html HTTP/1.1" 200 5345
0:0:0:0:0:0:0:1 - - [07/Mar/2020:13:41:03 +0530] "GET /Code_Complexity_measuring_tool/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 55967
